birth,death,gender,hair,height,name,race,realm,spouse
"After ,SA 61","Early ,Second Age",Female,,,Tindómiel,Men,,
,,,,,Tim,,,
Before the creation of Arda,Immortal,Male, ,,Tilion,Ainur,,None
,,,,,Théodwyn,,,
TA 2978,"February 25 ,3019",Male,,,Théodred,Men,,
"TA 2948 ,Gondor","March 15 ,3019",Male,White with braids (book) Blonde (films),Tall,Théoden,Men,,Elfhild
,FA 465,Female,,,Thuringwethil,Vampire,,
TA 2542,TA 2790,Male,Grey-white,,Thrór,Dwarves,"Grey Mountains,Lonely Mountain",Unnamed wife
TA 2644,TA 2850,Male,,,Thráin II,Dwarves,Lonely Mountain,Unnamed wife
First Age,"Presumably departed to ,Aman",Male,Golden,Tall,Thranduil,Elves,"Woodland Realm,Mirkwood",Unnamed wife
"Before the Creation of ,Arda",Immortal,Male,,30,Thorondor,Great Eagles,,
TA 1934,TA 2190,Male,,,Thráin I,Dwarves,Khazad-dûm,Unnamed wife
TA 2782,TA 2882,Male,,,Thorondir,Men,,Unnamed wife
TA 2866,"FO 137,(aged 280)",Male,,,Thorin III Stonehelm,Dwarves,"Lonely Mountain,Iron Hills",
TA 2746,"November 23, TA 2941",Male,,,Thorin II Oakenshield,Dwarves,Ered Luin,
TA 2035,TA 2289,Male,,,Thorin I,Dwarves,"Lonely Mountain,Grey Mountains",Unnamed wife
YT 1050,FA 502,Male,Silver,"Tallest of the Elven-folk, 8'2""",Thingol,Elves,Doriath,Melian
TA 2905,TA 2980,Male,,,Thengel,Men,Rohan,Morwen Steelsheen
Second Age,"Sometime after the ,War of the Last Alliance",Male,,Tall,The King of the Dead,"Men,Undead","White Mountains,Paths of the Dead",
TA 1516,TA 1636,Male,,,Telemnar,Men,Gondor,Unnamed wife
First Age,First Age,Male,,,Telchar,Dwarves,,
"Unknown, awakened in the ,Years of the Trees",,Female,,,Tatië,Elves,,Tata
TA 1632,TA 1850,Male,,,Telumehtar,Men,Gondor,Unnamed wife
"Unknown, awakened in the ,Years of the Trees",,Male,,,Tata,Elves,,Tatië
TA 372,TA 602,Male,,,Tarondor of Arnor,Men,Arnor,Unnamed wife
"Late ,Third Age",,Male,,,Targon,Men,,
,,,,,Mimosa (Bunce) Baggins,,,
TA 2860,TA 2950,Male,,,Longo Baggins,Hobbits,,Camellia (Sackville) Baggins
TA 2814,TA 2916,Female,,,Laura (Grubb) Baggins,Hobbits,,Mungo Baggins
TA 1577,TA 1798,Male,,,Tarondor,Men,Gondor,Unnamed wife
"After ,TA 654","Before ,TA 913",Male,,,Tarciryan,Men,,Unnamed wife
TA 2807,TA 2900,Male,,,Mungo Baggins,Hobbits,,Laura Grubb
,,,,,Largo Baggins,,,
"22 September ,TA 2968","Unknown (Last sighting ,September 29 ,3021,) (,SR 1421,)",Male,Brown,"1.06m (3'6"")",Frodo Baggins,Hobbit,,
TA 2864,TA 2960,male,,,Fosco Baggins,Hobbits,,Ruby Bolger
TA 2911,TA 3009,Male,,,Dudo Baggins,Hobbits,,Unnamed wife
TA 2908,TA 2980,Male,,,Drogo Baggins,Hobbits,,Primula Brandybuck
,,,,,Dora Baggins,,,
,,,,,Bingo Baggins,,,
,,,,,Chica (Chubb) Baggins,,,
TA 2846,TA 2926,Male,,,Bungo Baggins,Hobbit,,
TA 2772,TA 2871,Female,,,Berylla (Boffin) Baggins,Hobbits,,Balbo Baggins
TA 2852,TA 2934,Female,Black,,Belladonna (Took) Baggins,Hobbits,,Bungo Baggins
TA 2767,TA 2858,Male,,,Balbo Baggins,Hobbits,,Berylla (Boffin) Baggins
TA 2981,"Early-,Fourth Age",Female,Blonde,,Angelica Baggins,Hobbit,,
,TA 2799,Male,none,8'5,Azog,Orcs,"Moria,Mount Gundabad",
FA 214,FA 473,Male,,,Azaghâl,Dwarves,,
SA 395,,Male,,,Axantur,Men,,Unnamed wife
"Before the creation of ,Arda",Immortal,Male,,,Aulë,Ainur,,Yavanna
SA 213,"Early ,Second Age",Male,,,Aulendil (Vardamir's son),Men,,Unnamed wife
TA 977,TA 1226,Male,,,Atanatar II,Men,Gondor,Unnamed wife
TA 480,TA 748,Male,,,Atanatar I,Men,Gondor,Unnamed wife
"After ,SA 61","Early ,Second Age",Male,,,Atanalcar,Men,,Possible unnamed wife
,,,,,Asgon,,,
TA 241,FO 121,Female,Black,,Arwen,"Half-elven,Men",Reunited Kingdom,Aragorn II Elessar
TA 1633,TA 1813,Male,,,Arveleg II,Men,"Arthedain,Arnor",Unnamed wife
TA 1309,TA 1409,Male,,,Arveleg I,Men,"Arnor,Arthedain",Unnamed wife
TA 1553,TA 1743,Male,,,Arvegil,Men,"Arthedain,Arnor",Unnamed wife
TA 1864,TA 1975,Male,,,Arvedui,Men,Arthedain,Fíriel
"Late ,First Age",FA 460,Male,,,Arthad,Men,,
,,,,,Artamir,,,
,,Male,,,Arminas,Elves,,
"Before the creation of ,Arda",Immortal,Female,,,Arien,Ainur,,None
TA 2757,TA 2912,Male,,,Argonui,Men,,Unnamed wife
Years of the Trees,"YT 1500, or ,FA 1 ,Battle of the Lammoth",Male,Possibly dark,Tall,Argon,Elves,,None
TA 1473,TA 1670,Male,,,Argeleb II,Men,Arthedain,Unnamed wife
TA 1226,TA 1356,Male,,,Argeleb I,Men,"Arthedain,Arnor",Unnamed wife
YT 1362,FA 400,Female,Dark,Tall,Aredhel,Elves,,Eöl
SA 562,,Male,,,Ardamir (son of Axantur),Men,,
"After ,TA 1684",,Male,,,Arciryas,Men,,Unnamed wife
TA 2497,TA 2654,Male,,,Aravorn,Men,,Unnamed wife
TA 2156,TA 2319,Male,,,Aravir,Men,,Unnamed wife
TA 1711,TA 1891,Male,,,Araval,Men,"Arthedain,Arnor",Unnamed wife
TA 2873,TA 2933,Male,Dark (film),,Arathorn II,Men,,Gilraen
TA 2693,TA 2848,Male,,,Arathorn I,Men,,Unnamed wife
SA 3339,,Male,,,Aratan,Men,TA 2,"Unknown, possibly known"
TA 2628,TA 2784,Male,,,Arassuil,Men,,Unnamed wife
TA 1391,TA 1589,Male,,,Araphor,Men,Arthedain,Unnamed wife
TA 185,TA 435,Male,,,Arantar,Men,Arnor,Unnamed wife
TA 1789,TA 1964,Male,,,Araphant,Men,Arthedain,Unnamed wife
,,Male,,,Aranwë,Elves,,Unnamed wife
TA 2084,TA 2247,Male,,,Aranuir,Men,,Unnamed wife
TA 1938,TA 2106,Male,,,Aranarth,Men,,Unnamed wife
TA 2012,TA 2177,Male,,,Arahael,Men,,Unnamed wife
TA 2563,TA 2719,Male,,,Arahad II,Men,,Unnamed wife
TA 2365,TA 2523,Male,,,Arahad I,Men,,Unnamed wife
TA 2431,TA 2588,Male,,,Aragost,Men,,Unnamed wife
"March 1 ,2931",FO 120,Male,Dark,"198cm (6'6"")",Aragorn II Elessar,Men,"Reunited Kingdom,Arnor,Gondor",Arwen
TA 2227,TA 2327,Male,,,Aragorn I,Men,,Unnamed wife
TA 2296,TA 2455,Male,,,Araglas,Men,,Unnamed wife
TA 2820,TA 2930,Male,"Dark, then grey (film)",,Arador,Men,,Unnamed wife
SA 2798,SA 3033,Male,,,Ar-Zimrathôn,Men,Númenor,Unnamed wife
"Mid-,Third Age",,Male,,,Angamaitë,Men,,
FA 440,FA 489,Male,,,Andróg,Men,,Unnamed wife
FA 361,FA 455,Female,Dark brown,,Andreth,Men,,"Loved ,Aegnor, but they never married"
Possibly before the Creation of Arda,FA 587,Male,,As tall as a mountain,Ancalagon,Dragons,,
"Late ,Third Age",,Male,Dark,,Anborn,Men,,
TA 136,TA 411,Male,,,Anardil,Men,Gondor,Unnamed wife
YT,,Female,,,Anairë,Elves,,Fingolfin
TA 2994,,Male,,,Amrothos,Men,,
,,,,,Andvír,,,
,TA 1981,Male,Golden,,Amroth,Elves,Lórien,Nimrodel
Years of the Trees,"YT 1497 ,Losgar",Male,Dark red,,Amrod,Elves,,None
Years of the Trees,FA 538,Male,Dark red,,Amras,Elf,Estolad,None
TA 726,TA 946,Male,,,Amlaith,Men,Arthedain,Unnamed wife
,,,,,Amlach,,,
"Sometime during ,Years of the Trees, or the ,First Age",SA 3434,Male,,,Amdír,Elves,Lórien,Unnamed wife
YT,Still alive,Female,,,Amarië,Elves,,"Loved ,Finrod, but it is unknown whether they married"
"Late ,Second Age",Sailed West either SA 3310 fate unknown,Male,,,Amandil,Men,,Unnamed wife
TA 3017,FO 95,Male,,,Alphros,Men,,
"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,Almiel,Men,,
"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,Ailinel,Men,,Orchaldor
,,Female,,,Almarian,Men,Númenor,Tar-Meneldur
"Late ,First Age",FA 489,Male,,,Algund,Men,,None known
TA 2544,TA 2645,Male,,,Aldor,Men,Rohan,Unnamed wife
TA 1330,TA 1540,Male,,,Aldamir,Men,Gondor,Unnamed wife
Before the creation of Arda,,Male,,,Alatar,"Ainur,Maiar",,None
TA 2827,TA 2932,Male,,,Aglahad,Men,,Unnamed wife
,,,,,Aghan,,,
,,,,,Agathor,,,
"Mid ,First Age",FA 495,Female,,,Aerin,Men,,Brodda
,,,,,Aerandir,,,
"YT during the ,Noontide of Valinor",FA 455,Male,Golden,,Aegnor,Elves,,"Loved ,Andreth but remained unmarried"
TA 2917,TA 3010,Male,,,Adrahil II,Men,,Unnamed wife
"Before ,TA 1944","Late ,Third Age",Male,,,Adrahil I,Men,,
