name,aliases,titles,rule,race,birth,death,gender,culture,languages,hair,height,realm,spouse,children,weapon,wikiUrl,imageUrl,_id
Elenwë,,,,Elf,YT,YT 1500,Female,,,Golden,Tall,,Turgon,,,http://lotr.wikia.com//wiki/Elenw%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfcc1)
Elfhelm,,,,Human,TA 2985,"Early ,Fourth Age",Male,,,Dark,,,,,,http://lotr.wikia.com//wiki/Elfhelm,,ObjectId(5cd99d4bde30eff6ebccfcc2)
Elfhild,,,,Human,TA 2950,TA 2978,Female,,,,,Rohan,Théoden,,,http://lotr.wikia.com//wiki/Elfhild,,ObjectId(5cd99d4bde30eff6ebccfcc3)
Elfwine,,,,Human,FO 8,FO 103,Male,,,,,Rohan,,,,http://lotr.wikia.com//wiki/Elfwine,,ObjectId(5cd99d4bde30eff6ebccfcc4)
Elladan and Elrohir,,,,Elf,TA 130,,Male,,,Dark,Tall,,,,,http://lotr.wikia.com//wiki/Elladan_and_Elrohir,,ObjectId(5cd99d4bde30eff6ebccfcc5)
Emeldir,,,,Human,FA 406,,Female,,,,,,Barahir,,,http://lotr.wikia.com//wiki/Emeldir,,ObjectId(5cd99d4bde30eff6ebccfcc6)
Elphir,,,,Human,TA 2987,FO 57,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Elphir,,ObjectId(5cd99d4bde30eff6ebccfcc7)
Elrond,,,,Elf,FA 532,"Still alive; departed to ,Aman, on ,September 29 ,3021",Male,,,Dark,Tall,Rivendell,Celebrían,,,http://lotr.wikia.com//wiki/Elrond,,ObjectId(5cd99d4bde30eff6ebccfcc8)
Enel,,,,Elf,"Unknown, Awakened in the Years of the Trees",,Male,,,,,,Enelyë,,,http://lotr.wikia.com//wiki/Enel,,ObjectId(5cd99d4bde30eff6ebccfcc9)
Enelyë,,,,Elf,"Unknown, Awakened in the ,Years of the Trees",,Female,,,,,,Enel,,,http://lotr.wikia.com//wiki/Enely%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfcca)
Enerdhil,,,,Elf,"Unknown, possibly in the ,First Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Enerdhil,,ObjectId(5cd99d4bde30eff6ebccfccb)
Erchirion,,,,Human,TA 2990,"Early ,Fourth Age",Male,,,,,,,,,http://lotr.wikia.com//wiki/Erchirion,,ObjectId(5cd99d4bde30eff6ebccfccd)
Erellont,,,,Elf,unknown,unknown,Male,,,,,,unknown,,,http://lotr.wikia.com//wiki/Erellont,,ObjectId(5cd99d4bde30eff6ebccfcce)
Erendis,,,,Human,SA 771,SA 985,Female,,,Dark,,Númenor,Tar-Aldarion,,,http://lotr.wikia.com//wiki/Erendis,,ObjectId(5cd99d4bde30eff6ebccfccf)
Erestor,,,,Elf,,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Erestor,,ObjectId(5cd99d4bde30eff6ebccfcd0)
Eorl the Young,,,,Human,TA 2485,TA 2545,Male,,,Blond,,Rohan,Unnamed wife,,,http://lotr.wikia.com//wiki/Eorl_the_Young,,ObjectId(5cd99d4bde30eff6ebccfcd2)
Erkenbrand,,,,Human,"Late ,Third Age","early ,Fourth Age",Male,,,,Tall,,,,,http://lotr.wikia.com//wiki/Erkenbrand,,ObjectId(5cd99d4bde30eff6ebccfcd3)
Estelmo,,,,Human,"Late ,Second Age","Early ,Third Age",Male,,,,,,,,,http://lotr.wikia.com//wiki/Estelmo,,ObjectId(5cd99d4bde30eff6ebccfcd4)
Eradan,,,,Human,TA 1999,TA 2116,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Eradan,,ObjectId(5cd99d4bde30eff6ebccfcd5)
Eärendur of Númenor,,,,Human,SA 361,"Early ,Second Age",Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/E%C3%A4rendur_of_N%C3%BAmenor,,ObjectId(5cd99d4bde30eff6ebccfcd6)
Eärnil I,,,,Human,TA 736,TA 936,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/E%C3%A4rnil_I,,ObjectId(5cd99d4bde30eff6ebccfcd7)
Eärnil II,,,,Human,TA 1883,TA 2043,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/E%C3%A4rnil_II,,ObjectId(5cd99d4bde30eff6ebccfcd8)
Eärnur,,,,Human,TA 1928,TA 2050,Male,,,,,Gondor,None,,,http://lotr.wikia.com//wiki/E%C3%A4rnur,,ObjectId(5cd99d4bde30eff6ebccfcd9)
Eärwen,,,,Elf,Years of the Trees,Still alive,Female,,,Star-like,,,Finarfin,,,http://lotr.wikia.com//wiki/E%C3%A4rwen,,ObjectId(5cd99d4bde30eff6ebccfcda)
Eärendur (Lord of Andúnië),,,,Human,"Late ,Second Age",Late Second Age,Male,,,,,,,,,http://lotr.wikia.com//wiki/E%C3%A4rendur_(Lord_of_And%C3%BAni%C3%AB),,ObjectId(5cd99d4bde30eff6ebccfcdb)
Eöl,,,,Elf,YT,FA 400,Male,,,Dark,Tall,Nan Elmoth,Aredhel,,,http://lotr.wikia.com//wiki/E%C3%B6l,,ObjectId(5cd99d4bde30eff6ebccfcdc)
Eärendil of Gondor,,,,Human,TA 48,TA 324,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/E%C3%A4rendil_of_Gondor,,ObjectId(5cd99d4bde30eff6ebccfcdd)
Eärendur of Arnor,,,,Human,TA 640,TA 861,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/E%C3%A4rendur_of_Arnor,,ObjectId(5cd99d4bde30eff6ebccfcde)
Faramir (son of Ondoher),,,,Human,"Mid ,Third Age",TA 1944,Male,,,,,,,,,http://lotr.wikia.com//wiki/Faramir_(son_of_Ondoher),,ObjectId(5cd99d4bde30eff6ebccfcdf)
Fastred,,,,Human,TA 2858,TA 2885,Male,,,,,,,,,http://lotr.wikia.com//wiki/Fastred,,ObjectId(5cd99d4bde30eff6ebccfce0)
Fastred (Pelennor Fields),,,,Human,"Late ,Third Age","March 15 ,3019",Male,,,,,,,,,http://lotr.wikia.com//wiki/Fastred_(Pelennor_Fields),,ObjectId(5cd99d4bde30eff6ebccfce1)
Fengel,,,,Human,TA 2870,TA 2953,Male,,,,,Rohan,,,,http://lotr.wikia.com//wiki/Fengel,,ObjectId(5cd99d4bde30eff6ebccfce2)
Ferumbras Took II,,,,Hobbit,TA 2701,TA 2801,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Ferumbras_Took_II,,ObjectId(5cd99d4bde30eff6ebccfce3)
Finarfin,,,,Elf,YT 1230,Still Alive,Male,,,Golden,,Tirion,Eärwen,,,http://lotr.wikia.com//wiki/Finarfin,,ObjectId(5cd99d4bde30eff6ebccfce4)
Findegil,,,,Human,Fourth Age,"sometime after ,FO 172",Male,,,,,,,,,http://lotr.wikia.com//wiki/Findegil,,ObjectId(5cd99d4bde30eff6ebccfce5)
Findis,,,,Elf,Years of the Trees,,Female,,,,,,,,,http://lotr.wikia.com//wiki/Findis,,ObjectId(5cd99d4bde30eff6ebccfce6)
Finduilas,,,,Elf,First Age,FA 495,Female,,,Golden,,,"None; betrothed to ,Gwindor, but never married.",,,http://lotr.wikia.com//wiki/Finduilas,,ObjectId(5cd99d4bde30eff6ebccfce7)
Finduilas of Dol Amroth,,,,Human,TA 2950,TA 2988,Female,,,Dark,,,Denethor II,,,http://lotr.wikia.com//wiki/Finduilas_of_Dol_Amroth,,ObjectId(5cd99d4bde30eff6ebccfce8)
Fingolfin,,,,Elf,YT 1190,FA 455,Male,,,Dark,,"Hithlum,Beleriand",Anairë,,,http://lotr.wikia.com//wiki/Fingolfin,,ObjectId(5cd99d4bde30eff6ebccfce9)
Farin,,,,Dwarf,TA 2560,TA 2803,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Farin,,ObjectId(5cd99d4bde30eff6ebccfcea)
Fingon,,,,Elf,"YT during the ,Noontide of Valinor",FA 472,Male,,,Dark,,Hithlum,,,,http://lotr.wikia.com//wiki/Fingon,,ObjectId(5cd99d4bde30eff6ebccfceb)
Finrod,,,,Elf,YT 1300,FA 465,Male,,,Golden,,,"Loved ,Amarië but they never married",,,http://lotr.wikia.com//wiki/Finrod,,ObjectId(5cd99d4bde30eff6ebccfcec)
Finwë,,,,Elf,"YT, and perhaps Firstborn",YT 1495,Male,,,Black,,"Tirion,Formenos","Míriel Serindë then ,Indis",,,http://lotr.wikia.com//wiki/Finw%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfced)
Flói,,,,Dwarf,"Late ,Third Age",TA 2994,Male,,,,,,,,,http://lotr.wikia.com//wiki/Fl%C3%B3i,,ObjectId(5cd99d4bde30eff6ebccfcee)
Faramir,,,,Human,TA 2983,"February 26 ,82",Male,,,Raven,,Minas Ithil,owyn,,,http://lotr.wikia.com//wiki/Faramir,,ObjectId(5cd99d4bde30eff6ebccfcef)
Folca,,,,Human,TA 2804,TA 2864,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Folca,,ObjectId(5cd99d4bde30eff6ebccfcf0)
Fastolph Bolger,,,,Hobbit,SR 1210,,Male,,,,,Shire,Pansy Baggins,,,http://lotr.wikia.com//wiki/Fastolph_Bolger,,ObjectId(5cd99d4bde30eff6ebccfcf1)
Folcred,,,,Human,TA 2858,TA 2885,Male,,,,,,,,,http://lotr.wikia.com//wiki/Folcred,,ObjectId(5cd99d4bde30eff6ebccfcf2)
Forlong,,,,Human,"Late ,Third Age",TA 3019,Male,,,,,,unknown,,,http://lotr.wikia.com//wiki/Forlong,,ObjectId(5cd99d4bde30eff6ebccfcf3)
Folcwine,,,,Human,TA 2830,TA 2903,Male,,,,,Rohan,Unnamed wife,,,http://lotr.wikia.com//wiki/Folcwine,,ObjectId(5cd99d4bde30eff6ebccfcf4)
Fortinbras Took I,,,,Hobbit,TA 2745,TA 2848,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Fortinbras_Took_I,,ObjectId(5cd99d4bde30eff6ebccfcf5)
Forthwini,,,,Human,"Mid ,Third Age",TA 1944,Male,,,,,,"Unknown, but possible since he had descendants",,,http://lotr.wikia.com//wiki/Forthwini,,ObjectId(5cd99d4bde30eff6ebccfcf6)
Forweg,,,,Human,"Late ,First Age",Late First Age,Male,,,Fair,,,"Unknown, probably none",,,http://lotr.wikia.com//wiki/Forweg,,ObjectId(5cd99d4bde30eff6ebccfcf7)
Freca,,,,Human,TA 2698,TA 2754,Male,,,Dark,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Freca,,ObjectId(5cd99d4bde30eff6ebccfcf8)
Fram,,,,Human,TA 1967,"Unknown, sometime after ,TA 2000",Male,,,,,,"Unknown, probably as he had descendants",,,http://lotr.wikia.com//wiki/Fram,,ObjectId(5cd99d4bde30eff6ebccfcf9)
Frerin,,,,Dwarf,TA 2751,TA 2799,Male,,,,,,,,,http://lotr.wikia.com//wiki/Frerin,,ObjectId(5cd99d4bde30eff6ebccfcfa)
Frumgar,,,,Human,TA 1940,TA 2001,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Frumgar,,ObjectId(5cd99d4bde30eff6ebccfcfb)
Fréawine,,,,Human,TA 2594,TA 2680,Male,,,,,Rohan,,,,http://lotr.wikia.com//wiki/Fr%C3%A9awine,,ObjectId(5cd99d4bde30eff6ebccfcfc)
Frór,,,,Dwarf,TA 2552,TA 2589,Male,,,,,,,,,http://lotr.wikia.com//wiki/Fr%C3%B3r,,ObjectId(5cd99d4bde30eff6ebccfcfd)
Frár,,,,Dwarf,"Late ,Third Age",November 102994,Male,,,,,,,,,http://lotr.wikia.com//wiki/Fr%C3%A1r,,ObjectId(5cd99d4bde30eff6ebccfcfe)
Fundin,,,,Dwarf,TA 2662,TA 2799,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Fundin,,ObjectId(5cd99d4bde30eff6ebccfcff)
Fréa,,,,Human,TA 2570,TA 2659,Male,,,,,Rohan,Unnamed wife,,,http://lotr.wikia.com//wiki/Fr%C3%A9a,,ObjectId(5cd99d4bde30eff6ebccfd00)
Fréaláf Hildeson,,,,Human,TA 2726,TA 2798,Male,,,,,Rohan,Unnamed wife,,,http://lotr.wikia.com//wiki/Fr%C3%A9al%C3%A1f_Hildeson,,ObjectId(5cd99d4bde30eff6ebccfd01)
Fëanor,,,,Elf,YT 1169,YT 1497,Male,,,Raven,Tall,"Tirion,Formenos",Nerdanel,,,http://lotr.wikia.com//wiki/F%C3%ABanor,,ObjectId(5cd99d4bde30eff6ebccfd02)
Fíriel,,,,Human,TA 1896,,Female,,,,,Arthedain,Arvedui,,,http://lotr.wikia.com//wiki/F%C3%ADriel,,ObjectId(5cd99d4bde30eff6ebccfd03)
Fíli and Kíli,,,,Dwarf,TA 2859,November 23TA 2941,Male,,,Yellow,,,None,,,http://lotr.wikia.com//wiki/F%C3%ADli_and_K%C3%ADli,,ObjectId(5cd99d4bde30eff6ebccfd04)
Galar,,,,Dwarf,,,,,,,,,,,,http://lotr.wikia.com//wiki/Galar,,ObjectId(5cd99d4bde30eff6ebccfd05)
Galadriel,,,,Elf,YT 1362,"Still alive: Departed over the sea on ,September 29 ,3021",Female,,,Golden,Tall,"Eregion,Lothlórien,Caras Galadhon",Celeborn,,,http://lotr.wikia.com//wiki/Galadriel,,ObjectId(5cd99d4bde30eff6ebccfd06)
Galdor,,,,Human,FA 417,FA 462,Male,,,,Tall,,Hareth,,,http://lotr.wikia.com//wiki/Galdor,,ObjectId(5cd99d4bde30eff6ebccfd07)
Galion,,,,Elf,,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Galion,,ObjectId(5cd99d4bde30eff6ebccfd08)
Daisy Gamgee I,,,,Hobbit,TA 2972,FO 54,Female,,,,,,,,,http://lotr.wikia.com//wiki/Daisy_Gamgee_I,,ObjectId(5cd99d4bde30eff6ebccfd09)
Frodo Gardner,,,,Hobbit,FO 2,FO,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Frodo_Gardner,,ObjectId(5cd99d4bde30eff6ebccfd0a)
Hamson Gamgee,,,,Hobbit,TA 2965,,Male,,,,,,None,,,http://lotr.wikia.com//wiki/Hamson_Gamgee,,ObjectId(5cd99d4bde30eff6ebccfd0b)
May Gamgee,,,,Hobbit,TA 2976,,Female,,,,,,,,,http://lotr.wikia.com//wiki/May_Gamgee,,ObjectId(5cd99d4bde30eff6ebccfd0c)
Samwise Gamgee,,,,Hobbit,"April 6 ,2980","Still alive, after going to the ,Undying Lands, in ,FO 61",Male,,,Blond (movie),"1.22m (4'0"")",,Rosie Cotton,,,http://lotr.wikia.com//wiki/Samwise_Gamgee,,ObjectId(5cd99d4bde30eff6ebccfd0d)
Gamling,,,,Human,"Possibly late ,Third Age",,Male,,,Possibly blond,,,,,,http://lotr.wikia.com//wiki/Gamling,,ObjectId(5cd99d4bde30eff6ebccfd0e)
Elanor Gardner,,,,Hobbit,March 253021,"Early ,Fourth Age",Female,,,Blonde or Golden,,,Fastred of Greenholm,,,http://lotr.wikia.com//wiki/Elanor_Gardner,,ObjectId(5cd99d4bde30eff6ebccfd0f)
Gelmir,,,,Elf,,FA 473,Male,,,,,,,,,http://lotr.wikia.com//wiki/Gelmir,,ObjectId(5cd99d4bde30eff6ebccfd10)
Hamfast Gamgee,,,,Hobbit,TA 2926,FO 7 (SR 1428),Male,,,"Brown, later gray","1.2m (3'11"")",,Bell Goodchild,,,http://lotr.wikia.com//wiki/Hamfast_Gamgee,,ObjectId(5cd99d4bde30eff6ebccfd11)
Halfred Gamgee,,,,Hobbit,TA 2969,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Halfred_Gamgee,,ObjectId(5cd99d4bde30eff6ebccfd12)
Galdor of the Havens,,,,Elf,,,Male,,,Golden (movie),6'3 (movie),,,,,http://lotr.wikia.com//wiki/Galdor_of_the_Havens,,ObjectId(5cd99d4bde30eff6ebccfd13)
Gil-galad,,,,Elf,FA 450,SA 3441,Male,,,Possibly golden (book) Dark brown (movie),Tall,"Havens of Sirion,Lindon",,,,http://lotr.wikia.com//wiki/Gil-galad,,ObjectId(5cd99d4bde30eff6ebccfd14)
Gildis,,,,Human,First Age,,Female,,,,,,"Hador, Lórindol",,,http://lotr.wikia.com//wiki/Gildis,,ObjectId(5cd99d4bde30eff6ebccfd15)
Gildor (Edain),,,,Human,"Late ,First Age",FA 460,Male,,,,,,,,,http://lotr.wikia.com//wiki/Gildor_(Edain),,ObjectId(5cd99d4bde30eff6ebccfd16)
Gildor Inglorion,,,,Elf,,Possible sailed West,Male,,,Golden,,,,,,http://lotr.wikia.com//wiki/Gildor_Inglorion,,ObjectId(5cd99d4bde30eff6ebccfd17)
Gilfanon,,,,Elf,,Presumably still alive,Male,,,,,,,,,http://lotr.wikia.com//wiki/Gilfanon,,ObjectId(5cd99d4bde30eff6ebccfd18)
Ghân-buri-Ghân,,,,Human,"Late ,Third Age",,Male,,,Black,Short,,,,,http://lotr.wikia.com//wiki/Gh%C3%A2n-buri-Gh%C3%A2n,,ObjectId(5cd99d4bde30eff6ebccfd19)
Gethron,,,,Human,"Mid ,First Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Gethron,,ObjectId(5cd99d4bde30eff6ebccfd1a)
Gilraen,,,,Human,TA 2907,TA 3007,Female,,,Blonde (film),"Unknown (book) 1.66m (5'5"") (film)",,Arathorn II,,,http://lotr.wikia.com//wiki/Gilraen,,ObjectId(5cd99d4bde30eff6ebccfd1b)
Gelmir (of Angrod's kin),,,,Elf,,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Gelmir_(of_Angrod%27s_kin),,ObjectId(5cd99d4bde30eff6ebccfd1c)
Girion,,,,Human,TA 2732,TA 2770,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Girion,,ObjectId(5cd99d4bde30eff6ebccfd1d)
Gimilzagar,,,,Human,SA 2630,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Gimilzagar,,ObjectId(5cd99d4bde30eff6ebccfd1e)
Glorfindel,,,,Elf,"Possibly ,YT",FA 510,Male,,,Golden,Tall,,None,,,http://lotr.wikia.com//wiki/Glorfindel,,ObjectId(5cd99d4bde30eff6ebccfd1f)
Glirhuin,,,,Human,"Unknown, late fifth or sixth century ,First Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Glirhuin,,ObjectId(5cd99d4bde30eff6ebccfd20)
Gléowine,,,,Human,"Late ,Third Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Gl%C3%A9owine,,ObjectId(5cd99d4bde30eff6ebccfd21)
Gimilkhâd,,,,Human,SA 3044,SA 3243,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Gimilkh%C3%A2d,,ObjectId(5cd99d4bde30eff6ebccfd22)
Gimli,,,,Dwarf,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,,,Auburn,,,,,,http://lotr.wikia.com//wiki/Gimli,,ObjectId(5cd99d4bde30eff6ebccfd23)
Golasgil,,,,Human,"Late ,Third Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Golasgil,,ObjectId(5cd99d4bde30eff6ebccfd24)
Goldwine,,,,Human,TA 2619,TA 2699,Male,,,,,Rohan,,,,http://lotr.wikia.com//wiki/Goldwine,,ObjectId(5cd99d4bde30eff6ebccfd25)
Hanna (Goldworthy) Brandybuck,,,,Hobbit,,,Female,,,,,,Madoc Brandybuck,,,http://lotr.wikia.com//wiki/Hanna_(Goldworthy)_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfd26)
Gorbulas Brandybuck,,,,Hobbit,TA 2908,"Before ,TA 3001",Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Gorbulas_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfd27)
Gorhendad (Oldbuck) Brandybuck,,,,Hobbit,TA 2274,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Gorhendad_(Oldbuck)_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfd28)
Gorlim,,,,Human,"Late ,First Age",FA 460,Male,,,,,,Eilinel,,,http://lotr.wikia.com//wiki/Gorlim,,ObjectId(5cd99d4bde30eff6ebccfd29)
Glóin (King of Durin's Folk),,,,Dwarf,TA 2136,TA 2385,Male,,,,,Grey Mountains,Unnamed wife,,,http://lotr.wikia.com//wiki/Gl%C3%B3in_(King_of_Durin%27s_Folk),,ObjectId(5cd99d4bde30eff6ebccfd2a)
Glóin,,,,Dwarf,TA 2783,FO 15,Male,,,"Red, later White",,,Unnamed wife,,,http://lotr.wikia.com//wiki/Gl%C3%B3in,,ObjectId(5cd99d4bde30eff6ebccfd2b)
Glóredhel,,,,Human,FA 415,FA 473,Female,,,Blonde,,,Haldir,,,http://lotr.wikia.com//wiki/Gl%C3%B3redhel,,ObjectId(5cd99d4bde30eff6ebccfd2c)
Gormadoc Deepdelver Brandybuck,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Gormadoc_%22Deepdelver%22_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfd2d)
Gram,,,,Human,TA 2668,TA 2741,Male,,,,,Rohan,Unnamed wife,,,http://lotr.wikia.com//wiki/Gram,,ObjectId(5cd99d4bde30eff6ebccfd2e)
Holman Greenhand,,,,Hobbit,TA 2810,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Holman_Greenhand,,ObjectId(5cd99d4bde30eff6ebccfd2f)
Rose Greenhand,,,,Hobbit,TA 2862,,Female,,,,,,Cotman Cotton,,,http://lotr.wikia.com//wiki/Rose_Greenhand,,ObjectId(5cd99d4bde30eff6ebccfd30)
Grimbeorn,,,,Human,"Unknown, probably several years or so after the ,Battle of Five Armies","Unknown, early ,Fourth Age",Male,,,Dark,Tall (in Man-form),,,,,http://lotr.wikia.com//wiki/Grimbeorn,,ObjectId(5cd99d4bde30eff6ebccfd31)
Grimbold,,,,Human,"Late ,Third Age","March 15 ,3019",Male,,,,,,,,,http://lotr.wikia.com//wiki/Grimbold,,ObjectId(5cd99d4bde30eff6ebccfd32)
Grithnir,,,,Human,"Mid ,First Age",FA 474,Male,,,,,,,,,http://lotr.wikia.com//wiki/Grithnir,,ObjectId(5cd99d4bde30eff6ebccfd33)
Gróin,,,,Dwarf,TA 2671,TA 2923,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Gr%C3%B3in,,ObjectId(5cd99d4bde30eff6ebccfd34)
Halfred Greenhand,,,,Hobbit,TA 2851,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Halfred_Greenhand,,ObjectId(5cd99d4bde30eff6ebccfd35)
Erling Greenhand,,,,Hobbit,TA 2854,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Erling_Greenhand,,ObjectId(5cd99d4bde30eff6ebccfd36)
Guilin,,,,Elf,,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Guilin,,ObjectId(5cd99d4bde30eff6ebccfd37)
Hending Greenhand,,,,Hobbit,TA 2859,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Hending_Greenhand,,ObjectId(5cd99d4bde30eff6ebccfd38)
Grór,,,,Dwarf,TA 2563,TA 2805,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Gr%C3%B3r,,ObjectId(5cd99d4bde30eff6ebccfd39)
Gundor,,,,Human,"Mid ,First Age",FA 456,Male,,,,,,,,,http://lotr.wikia.com//wiki/Gundor,,ObjectId(5cd99d4bde30eff6ebccfd3a)
Guthláf,,,,Human,"Late ,Third Age","March 15 ,3019",Male,,,Blond,,,,,,http://lotr.wikia.com//wiki/Guthl%C3%A1f,,ObjectId(5cd99d4bde30eff6ebccfd3b)
Hador,,,,Human,FA 390,FA 455,Male,,,Golden,,,Gildis,,,http://lotr.wikia.com//wiki/Hador,,ObjectId(5cd99d4bde30eff6ebccfd3c)
Hador (Steward),,,,Human,TA 2245,TA 2395,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Hador_(Steward),,ObjectId(5cd99d4bde30eff6ebccfd3d)
Halbarad,,,,Human,TA 2916,"March 15 ,3019",Male,,,Black,Tall,,,,,http://lotr.wikia.com//wiki/Halbarad,,ObjectId(5cd99d4bde30eff6ebccfd3e)
Haldir (Haladin),,,,Human,FA 413,FA 473,Male,,,,,,Glóredhel,,,http://lotr.wikia.com//wiki/Haldir_(Haladin),,ObjectId(5cd99d4bde30eff6ebccfd3f)
Gálmód,,,,Human,TA 2940,TA 3015,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/G%C3%A1lm%C3%B3d,,ObjectId(5cd99d4bde30eff6ebccfd40)
Gwindor,,,,Elf,"Unknown, possibly during the ,First Age",FA 495,Male,,,Became grey in captivity,,,"None, betrothed to ,Finduilas",,,http://lotr.wikia.com//wiki/Gwindor,,ObjectId(5cd99d4bde30eff6ebccfd41)
Haldir (Lorien),,,,Elf,,TA 3019,Male,,,Golden,,,,,,http://lotr.wikia.com//wiki/Haldir_(Lorien),,ObjectId(5cd99d4bde30eff6ebccfd42)
Haleth,,,,Human,FA 341,FA 420,Female,,,,,,None,,,http://lotr.wikia.com//wiki/Haleth,,ObjectId(5cd99d4bde30eff6ebccfd43)
Gárulf,,,,Human,"Late-,Third Age","February 28 ,3019",Male,,,,,,,,,http://lotr.wikia.com//wiki/G%C3%A1rulf,,ObjectId(5cd99d4bde30eff6ebccfd44)
Haleth (Helm's son),,,,Human,"Late ,Third Age","Winter of ,TA 2758",Male,,,,,,,,,http://lotr.wikia.com//wiki/Haleth_(Helm%27s_son),,ObjectId(5cd99d4bde30eff6ebccfd45)
Hallacar,,,,Human,SA 852,SA 1211,Male,,,,,,Tar-Ancalimë,,,http://lotr.wikia.com//wiki/Hallacar,,ObjectId(5cd99d4bde30eff6ebccfd46)
Hallas (Steward),,,,Human,TA 2480,TA 2605,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Hallas_(Steward),,ObjectId(5cd99d4bde30eff6ebccfd47)
Halmir,,,,Human,"Late ,First Age",Late First Age,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Halmir,,ObjectId(5cd99d4bde30eff6ebccfd48)
Hallatan,,,,Human,SA 711,"Mid ,Second Age",Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Hallatan,,ObjectId(5cd99d4bde30eff6ebccfd49)
Hamfast of Gamwich,,,,Hobbit,TA 2760,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Hamfast_of_Gamwich,,ObjectId(5cd99d4bde30eff6ebccfd4a)
Hareth,,,,Human,FA 419,,Female,,,,,,Galdor,,,http://lotr.wikia.com//wiki/Hareth,,ObjectId(5cd99d4bde30eff6ebccfd4b)
Harding,,,,Human,"Late ,Third Age","March 15 ,3019",Male,,,,,,,,,http://lotr.wikia.com//wiki/Harding,,ObjectId(5cd99d4bde30eff6ebccfd4c)
Hardang,,,,Human,FA 470,FA 501,Male,,,,,,None,,,http://lotr.wikia.com//wiki/Hardang,,ObjectId(5cd99d4bde30eff6ebccfd4d)
Hathaldir,,,,Human,"Mid ,First Age",FA 460,Male,,,,,,,,,http://lotr.wikia.com//wiki/Hathaldir,,ObjectId(5cd99d4bde30eff6ebccfd4e)
Hatholdir,,,,Human,"Sometime before ,SA 799",,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Hatholdir,,ObjectId(5cd99d4bde30eff6ebccfd4f)
Helm Hammerhand,,,,Human,TA 2691,TA 2759,Male,,,,,Rohan,Unnamed wife,,,http://lotr.wikia.com//wiki/Helm_Hammerhand,,ObjectId(5cd99d4bde30eff6ebccfd50)
